nombre,urls
Act 1: Chapter 44: Pomera's Dream,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-44-pomeras-dream
Act 1: Chapter 45: Goblin Extermination,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-45-goblin-extermination
Act 1: Chapter 46: 《Monster Parade》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-46-monster-parade
Act 1: Chapter 47: Disciple,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-47-disciple
Act 1: Chapter 48: First Cash,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-48-first-cash
Act 1: Chapter 49: Pomera's Agony,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-49-pomeras-agony
Act 1: Chapter 50: Power Leveling,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-50-power-leveling
Act 1: Chapter 51: Pomera's Agony~Extended~,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-51-pomeras-agonyextended
Act 1: Chapter 52: Pomera's Growth,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-52-pomeras-growth
Act 1: Chapter 53: Pomera's Agony~Beginning of Hell~,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-53-pomeras-agonybeginning-of-hell
Act 1: Chapter 54: Pomera's Agony~The Fruit of Agony~,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-54-pomeras-agonythe-fruit-of-agony
Act 1: Chapter 55: Raging Steel Ox,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-55-raging-steel-ox
"Act 1: Chapter 56: D-Rank Adventurer, Octavio",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-56-d-rank-adventurer-octavio
