"nombre";"url"
"Back to the Past The Rise of the False Heiress Marrying the True Tycoon";"https://boxnovel.com/novel/back-to-the-past-the-rise-of-the-false-heiress-marrying-the-true-tycoon/"
"Lets Divorce As Agreed";"https://boxnovel.com/novel/lets-divorce-as-agreed/"
"The Apple of the Ruthless CEOs Eye My Sweet Wife Is so Adorable";"https://boxnovel.com/novel/the-apple-of-the-ruthless-ceos-eye-my-sweet-wife-is-so-adorable/"
"The Strongest War God";"https://boxnovel.com/novel/the-strongest-war-god/"
"One Word Changed Characters in Chaos";"https://boxnovel.com/novel/one-word-changed-characters-in-chaos/"
"Follow the path of Dao from infancy";"https://boxnovel.com/novel/follow-the-path-of-dao-from-infancy/"
"Super Gene Ⅱ Evolution";"https://boxnovel.com/novel/super-gene-%e2%85%b1-evolution/"
"Legend of Dragon Soninlaw";"https://boxnovel.com/novel/legend-of-dragon-son-in-law/"
"My Simulated Road to Immortality";"https://boxnovel.com/novel/my-simulated-road-to-immortality/"
"Flash Marriage He is a Wifepampering Addict";"https://boxnovel.com/novel/flash-marriage-he-is-a-wife-pampering-addict/"
"Mrs and Mr Smith";"https://boxnovel.com/novel/mrs-and-mr-smith/"
"I Attained Invincibility In The Real World";"https://boxnovel.com/novel/i-attained-invincibility-in-the-real-world/"
"ConstructingStyle Wizard";"https://boxnovel.com/novel/constructing-style-wizard/"
"The Great Genetic Era";"https://boxnovel.com/novel/the-great-genetic-era/"
"Seeking Immortality In The World Of Cultivation";"https://boxnovel.com/novel/seeking-immortality-in-the-world-of-cultivation/"
"After Having Everything Taken Away She Returns As A God";"https://boxnovel.com/novel/after-having-everything-taken-away-she-returns-as-a-god/"
"Peasant Womans Decreed Life as a Wife";"https://boxnovel.com/novel/peasant-womans-decreed-life-as-a-wife/"
"A Necromancer Who Just Wants to Plant Trees";"https://boxnovel.com/novel/a-necromancer-who-just-wants-to-plant-trees/"
"Thank you for Waiting Mister Tang";"https://boxnovel.com/novel/thank-you-for-waiting-mister-tang/"
