"_id";"nombre";"url"
"65e7ed3d9297a4c7c5aaaeef";"MARTIAL KING'S RETIRED LIFE";"https://novel-bin.net/novel-bin/martial-kings-retired-life-nov169782885"
"65e874957a145405d0b24bf5";"CULTIVATION CHAT GROUP";"https://novel-bin.net/novel-bin/cultivation-chat-group-nov1827941102"
"65efbb2ceb6e829adc4a104a";"EMPEROR'S DOMINATION";"https://novel-bin.net/novel-bin/emperors-domination-nov1762445829"
"65efbb58eb6e829adc4a104c";"BECOMING IMMORTAL THROUGH GETTING MARRIED";"https://novel-bin.net/novel-bin/becoming-immortal-through-getting-married-nov-1998792937"
"65f1af5d4285ef9618f6b28f";"AS AN IMMORTAL, I ONLY LEARN FORBIDDEN SKILLS";"https://novel-bin.net/novel-bin/as-an-immortal-i-only-learn-forbidden-skills-nov-1066226260"
"65f2715cc27445147d4bf041";"BE GENTLE, IMMORTAL MASTER";"https://novel-bin.net/novel-bin/be-gentle-immortal-master-nov1564132283"
"65f276ae08dd1953fc6aff65";"DAO OF THE BIZARRE IMMORTAL";"https://novel-bin.net/novel-bin/dao-of-the-bizarre-immortal-nov-586219067"
"65f277ff588d402684d17d28";"IT'S LONELY TO BE INVINCIBLE";"https://novel-bin.net/novel-bin/its-lonely-to-be-invincible-nov-1623089571"
"65f3192d0482fb05152092b7";"INVINCIBLE! THIS PERSON HAS LIVED FOR A BILLION YEARS";"https://novel-bin.net/novel-bin/invincible-this-person-has-lived-for-a-billion-years-nov1920480064"
"65f31a920482fb05152092f1";"INVINCIBLE DAD OF ANOTHER WORLD";"https://novel-bin.net/novel-bin/invincible-dad-of-another-world-nov-432981589"
"65f323880482fb051520953e";"I REINCARNATED AS AN IMMORTAL BAT INTO ANOTHER WORLD";"https://novel-bin.net/novel-bin/i-reincarnated-as-an-immortal-bat-into-another-world-nov-115600440"
"65f3c72507dfc64b480c412b";"RETURN OF THE SHATTERED CONSTELLATION";"https://novel-bin.net/novel-bin/return-of-the-shattered-constellation-nov381526030"
"65f3c87707dfc64b480c42e1";"THE SUPREME MARTIAL KING SHOCKING ALL REALMS";"https://novel-bin.net/novel-bin/the-supreme-martial-king-shocking-all-realms-nov5967499"
"65f3c8be07dfc64b480c4380";"SUPREME TAMER";"https://novel-bin.net/novel-bin/supreme-tamer-nov-927104258"
"65f3c91607dfc64b480c440b";"BUILDING A GAMING EMPIRE FROM SCRATCH";"https://novel-bin.net/novel-bin/building-a-gaming-empire-from-scratch-nov181733340"
"65f3c96507dfc64b480c449f";"THIS NECROMANCER JUST WANTS TO PLANT TREES";"https://novel-bin.net/novel-bin/this-necromancer-just-wants-to-plant-trees-nov-1081524620"
"65f3ca2a07dfc64b480c4646";"CHRYSALIS";"https://novel-bin.net/novel-bin/chrysalis-nov399218049"
"65f3cbbf07dfc64b480c4ae7";"MY LADY, TO DEFEAT SCUMBAGS YOU MUST START EARLY";"https://novel-bin.net/novel-bin/my-lady-to-defeat-scumbags-you-must-start-early-nov-1186385801"
"65f3cbce07dfc64b480c4b06";"HIDE AND CULTIVATE IN THE EAST PALACE, ONLY TO FIND THE PRINCE IS A GIRL";"https://novel-bin.net/novel-bin/hide-and-cultivate-in-the-east-palace-only-to-find-the-prince-is-a-girl-nov-1358746123"
"65f3cbdc07dfc64b480c4b25";"MASTER ZHAN, CALM DOWN!";"https://novel-bin.net/novel-bin/master-zhan-calm-down-nov-1265550898"
"65f3cbe807dfc64b480c4b44";"PERFECT PAMPERED MARRIAGE: GOOD MORNING, HUBBY";"https://novel-bin.net/novel-bin/perfect-pampered-marriage-good-morning-hubby-nov-807029362"
"65f3cbf407dfc64b480c4b63";"DEITIES: STARTING FROM GOBLINS";"https://novel-bin.net/novel-bin/deities-starting-from-goblins-nov-254673335"
"65f3cc0107dfc64b480c4b82";"PLEASE PERMIT ME TO LOVE YOU FOREVER";"https://novel-bin.net/novel-bin/please-permit-me-to-love-you-forever-nov90022383"
"65f3cc0d07dfc64b480c4ba1";"I HAVE UNPARALLELED COMPREHENSION";"https://novel-bin.net/novel-bin/i-have-unparalleled-comprehension-nov209794364"
"65f3cc1807dfc64b480c4bc0";"HE IS WARMER THAN TIME";"https://novel-bin.net/novel-bin/he-is-warmer-than-time-nov-1006216202"
"65f3ce4807dfc64b480c531d";"SUPER SPENDER";"https://novel-bin.net/novel-bin/super-spender-nov-2014585506"
"65f46b8607dfc64b480c532b";"THE PRODIGIES WAR";"https://novel-bin.net/novel-bin/the-prodigies-war-nov-262551706"
"65f46e1a07dfc64b480c58af";"THE MYSTERIOUS ART MUSEUM";"https://novel-bin.net/novel-bin/the-mysterious-art-museum-nov-1844027788"
"65f46e6307dfc64b480c595c";"SPLITTING THE HEAVENS";"https://novel-bin.net/novel-bin/splitting-the-heavens-nov-1297776196"
"65f46fea07dfc64b480c5cb7";"SOVEREIGN OF THE ASHES";"https://novel-bin.net/novel-bin/sovereign-of-the-ashes-nov-253918702"
"65f4703707dfc64b480c5d68";"SPIRIT VESSEL";"https://novel-bin.net/novel-bin/spirit-vessel-novel-nov1438788966"
"65f4727207dfc64b480c6210";"STAR GATE";"https://novel-bin.net/novel-bin/star-gate-nov-1939767349"
"65f472f607dfc64b480c62f8";"SURVIVING AS A MAGE IN A MAGIC ACADEMY";"https://novel-bin.net/novel-bin/surviving-as-a-mage-in-a-magic-academy-nov-1039239697"
"65f4734107dfc64b480c63c0";"NARUTO: KONOHA’S KANPU";"https://novel-bin.net/novel-bin/naruto-konohas-kanpu-nov-1093857554"
